accession,study_id,study_family_id,subject_id,sample_id,species,assay,tissue_region,cell_type,maturation,injury,condition,timepoint,condition_status,subject_confidence,matrix_dir,source_url,source_evidence
GSM4644949,GSE153480,wang_olson_neonatal_regeneration,,,,Mus musculus,scRNA-seq,,,,,,,,,,,
GSM4644950,GSE153480,wang_olson_neonatal_regeneration,,,,Mus musculus,scRNA-seq,,,,,,,,,,,
GSM4644951,GSE153480,wang_olson_neonatal_regeneration,,,,Mus musculus,scRNA-seq,,,,,,,,,,,
GSM4644952,GSE153480,wang_olson_neonatal_regeneration,,,,Mus musculus,scRNA-seq,,,,,,,,,,,
GSM4644953,GSE153480,wang_olson_neonatal_regeneration,,,,Mus musculus,scRNA-seq,,,,,,,,,,,
GSM4644954,GSE153480,wang_olson_neonatal_regeneration,,,,Mus musculus,scRNA-seq,,,,,,,,,,,
GSM4644955,GSE153480,wang_olson_neonatal_regeneration,,,,Mus musculus,scRNA-seq,,,,,,,,,,,
GSM4644956,GSE153480,wang_olson_neonatal_regeneration,,,,Mus musculus,scRNA-seq,,,,,,,,,,,
